,City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
517,sumkino,ru,58.11,68.32,26.91,86,8.75,64
519,northam,au,-31.65,116.67,62.6,72,4.7,90
520,humberto de campos,br,-2.6,-43.46,78.93,100,9.31,80
521,port augusta,au,-32.49,137.76,86,23,11.41,24
522,jieshi,cn,22.82,115.83,74.97,86,14,56
523,dingle,ie,52.14,-10.27,50.17,95,11.77,100
524,cape town,za,-33.93,18.42,53.6,93,8.05,40
525,adrar,dz,27.87,-0.29,68,20,16.11,0
526,hermanus,za,-34.42,19.24,49.05,100,3.27,32
527,khatanga,ru,71.98,102.47,12.69,100,6.29,68
528,georgetown,sh,-7.93,-14.42,78.97,100,12.66,76
529,alice springs,au,-23.7,133.88,91.4,15,8.05,0
530,vaini,to,-21.2,-175.2,82.4,69,8.05,75
532,muroto,jp,33.37,134.14,69.8,49,6.93,20
533,sept-iles,ca,50.2,-66.38,32,97,3.36,90
534,aykhal,ru,65.95,111.51,24.48,87,8.97,80
535,saint george,bm,32.38,-64.68,66.2,77,13.87,20
536,severodvinsk,ru,64.56,39.82,30.2,80,4.47,0
537,pangnirtung,ca,66.15,-65.72,9.04,92,2.82,64
538,buzmeyin,tm,38.05,58.21,46.4,65,2.24,20
539,avarua,ck,-21.21,-159.78,80.6,69,12.75,40
540,kudat,my,6.89,116.84,86,79,3.36,75
541,jamestown,sh,-15.94,-5.72,74.79,100,12.77,0
542,hofn,is,64.25,-15.21,43.69,96,9.19,92
543,albany,au,-35.02,117.88,61.38,79,10.98,92
544,oyama,jp,36.31,139.8,64.4,59,9.17,75
545,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
546,arraial do cabo,br,-22.97,-42.02,71.82,97,8.63,24
548,broken hill,au,-31.97,141.45,82.12,44,4.16,12
549,cape town,za,-33.93,18.42,53.6,93,8.05,40
550,atuona,pf,-9.8,-139.03,81.72,100,15.68,36
551,ancud,cl,-41.87,-73.83,57.37,97,9.75,92
552,kapaa,us,22.08,-159.32,77,78,13.87,75
555,kimbe,pg,-5.56,150.15,81.9,100,3.71,80
556,ambilobe,mg,-13.19,49.05,70.56,92,3.15,24
557,busselton,au,-33.64,115.35,62.28,100,5.39,88
558,hermanus,za,-34.42,19.24,49.05,100,3.27,32
559,saskylakh,ru,71.97,114.09,6.7,100,4.72,24
561,hobart,au,-42.88,147.33,59,51,6.93,75
562,hilo,us,19.71,-155.08,73.4,88,5.82,90
563,punta arenas,cl,-53.16,-70.91,41,80,17.22,40
564,arraial do cabo,br,-22.97,-42.02,71.82,97,8.63,24
565,ancud,cl,-41.87,-73.83,57.37,97,9.75,92
567,wagar,sd,16.15,36.2,68.4,65,5.39,0
569,aswan,eg,24.09,32.9,80.6,11,5.82,0
570,puerto ayora,ec,-0.74,-90.35,75.64,98,6.62,0
571,hamilton,us,46.25,-114.15,36.81,47,1.92,76
573,saint george,bm,32.38,-64.68,66.2,77,13.87,20
574,saint-francois,gp,16.25,-61.27,77,73,6.93,20
575,khatanga,ru,71.98,102.47,12.69,100,6.29,68
576,marabba,sd,12.35,32.18,65.79,44,2.71,0
577,grand gaube,mu,-20.01,57.66,78.8,88,3.36,75
578,mana,gf,5.67,-53.78,76,86,3.94,44
579,cape town,za,-33.93,18.42,53.6,93,8.05,40
580,atuona,pf,-9.8,-139.03,81.72,100,15.68,36
581,kenai,us,60.55,-151.26,45.52,56,17.22,40
584,ulaangom,mn,49.98,92.07,31.23,84,2.59,56
585,portsmouth,us,36.84,-76.3,54.01,87,3.36,1
586,kapaa,us,22.08,-159.32,77,78,13.87,75
588,tomatlan,mx,19.93,-105.25,72.63,78,3.49,0
589,mizdah,ly,31.45,12.98,51.97,96,7.63,88
590,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
592,kapaa,us,22.08,-159.32,77,78,13.87,75
593,norman wells,ca,65.28,-126.83,17.6,48,17.22,75
594,nikolskoye,ru,59.7,30.79,35.6,100,6.71,0
595,bom jesus,br,-9.08,-44.36,75.24,64,6.62,44
596,piacabucu,br,-10.41,-36.43,73.35,91,5.06,80
597,sioux lookout,ca,50.1,-91.92,36.68,46,2.24,20
599,avarua,ck,-21.21,-159.78,80.6,69,12.75,40
